UF,IPIS
DF,73.56233850889024
SE,71.181811496732
SP,69.59081642972347
AM,66.80362983846688
PA,64.89248400925125
TO,64.14682854117014
RR,63.57885972205462
AL,62.49712483909291
RS,62.45050705685683
PR,62.19594825071759
MG,61.23973982011295
SC,61.0201826195892
ES,60.82836936712822
AC,60.4443620280902
MS,59.4894624218706
MT,58.74177587320682
RJ,57.65640928132088
PI,55.56985034041241
BA,55.552220920430024
CE,55.235479357441896
PB,54.94896148498836
PE,53.54991671654124
RO,52.7248826746161
GO,52.46425867311897
RN,51.6806370789183
MA,49.37922399351495
AP,47.51765237178485
