UF,NOME_MUNICIPIO,POPULACAO_ESTIMADA,UBS_POR_10MIL,LEITOS_SUS_POR_10MIL,IPIS,FAIXA_IPIS
SP,Embu-Guaçu,68913.0,0.1451105016470042,2.4668785279990715,96.48912402920575,Alta prioridade
SC,Palhoça,253469.0,0.9468613518812952,0.0,93.3170832323876,Alta prioridade
SP,Mirassol,65811.0,1.06365197307441,0.0,92.49277880902024,Alta prioridade
PR,Colombo,241672.0,1.034459929160184,1.6137574894898872,91.07209726394557,Alta prioridade
RJ,São João de Meriti,466503.0,0.4715939661695637,5.659127594034765,90.96692735814077,Alta prioridade
SP,Carapicuíba,398236.0,0.3766610753422594,6.478570495886861,90.81093654172736,Alta prioridade
RS,Cachoeirinha,141503.0,0.2826795191621379,7.137657858843983,90.80987463710976,Alta prioridade
CE,Pindoretama,24919.0,0.4013002126891127,6.420803403025803,90.69526534521836,Alta prioridade
PA,Anajás,30247.0,0.330611300294244,6.942837306179125,90.66795889090824,Alta prioridade
SP,Embu das Artes,259788.0,0.8083514250080834,3.810799575038108,90.45327659564816,Alta prioridade
