POSICAO_RANKING,IBGE,UF,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,QTD_UBS,UBS_POR_10MIL,DADO_UBS_AUSENTE,QTD_LEITOS_SUS,LEITOS_SUS_POR_10MIL,DEFICIT_UBS,DEFICIT_LEITOS,IPIS,FAIXA_IPIS
1,353820,SP,Pinhalzinho,15676.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
2,430163,RS,Balneário Pinhal,15413.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
3,231095,CE,Pires Ferreira,10984.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
4,354050,SP,Porangaba,10850.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
5,431415,RS,Paverama,8146.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
6,410895,PR,Guamiranga,7916.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
7,351535,SP,Euclides da Cunha Paulista,7883.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
8,430471,RS,Caraá,7555.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
9,430990,RS,Ibiraiaras,6827.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
10,355390,SP,Tarabai,6633.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
11,412175,PR,Reserva do Iguaçu,6493.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
12,431695,RS,Santa Maria do Herval,6486.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
13,170650,TO,Darcinópolis,6093.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
14,430063,RS,Amaral Ferrador,5384.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
15,432135,RS,Tavares,5319.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
16,280310,SE,Itabi,4816.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
17,430320,RS,Cacique Doble,4692.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
18,431848,RS,São José do Hortêncio,4555.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
19,432340,RS,Vila Maria,4515.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
20,412125,PR,Ramilândia,4279.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
21,220155,PI,Bela Vista do Piauí,4225.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
22,354010,SP,Pongaí,3440.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
23,432252,RS,Vale Verde,3213.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
24,430057,RS,Alto Feliz,3145.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
25,431301,RS,Nova Candelária,3138.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
26,430705,RS,Ernestina,3097.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
27,171840,TO,Presidente Kennedy,3016.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
28,430469,RS,Capitão,2994.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
29,432183,RS,Três Forquilhas,2813.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
30,431123,RS,Lagoa Bonita do Sul,2283.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
31,431971,RS,São Valentim do Sul,2255.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
32,410910,PR,Guaporema,2210.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
33,430047,RS,Almirante Tamandaré do Sul,2007.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
34,431057,RS,Itapuca,1963.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
35,316820,MG,Tapiraí,1698.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
36,432218,RS,Tupanci do Sul,1396.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
37,430066,RS,André da Rocha,1156.0,,,True,0.0,0.0,,100.0,100.0,Alta prioridade
38,314340,MG,Monte Sião,25107.0,1.0,0.3982952961325527,False,0.0,0.0,95.35249211343151,100.0,97.67624605671575,Alta prioridade
39,410465,PR,Carambeí,24469.0,1.0,0.4086803710817769,False,0.0,0.0,95.23131388662898,100.0,97.61565694331449,Alta prioridade
40,431306,RS,Nova Hartz,20558.0,1.0,0.4864286409183773,False,0.0,0.0,94.32410835158696,100.0,97.16205417579349,Alta prioridade
41,280170,SE,Cristinápolis,17594.0,1.0,0.5683755825849721,False,0.0,0.0,93.36791062248066,100.0,96.68395531124034,Alta prioridade
42,280600,SE,Ribeirópolis,17365.0,1.0,0.5758710048949035,False,0.0,0.0,93.28045030186725,100.0,96.64022515093362,Alta prioridade
43,351510,SP,Embu-Guaçu,68913.0,1.0,0.1451105016470042,False,17.0,2.4668785279990715,98.30677839438023,94.05650179274704,96.18164009356363,Alta prioridade
44,352500,SP,Jandira,121550.0,10.0,0.8227067050596462,False,0.0,0.0,90.40024841562524,100.0,95.20012420781262,Alta prioridade
45,353500,SP,Palestina,11704.0,1.0,0.8544087491455913,False,0.0,0.0,90.03033317600178,100.0,95.01516658800088,Alta prioridade
46,430468,RS,Capela de Santana,11424.0,1.0,0.8753501400560224,False,0.0,0.0,89.7859785969822,100.0,94.8929892984911,Alta prioridade
47,280660,SE,Santo Amaro das Brotas,11289.0,1.0,0.8858180529719195,False,0.0,0.0,89.66383377552704,100.0,94.83191688776353,Alta prioridade
48,292305,BA,Novo Triunfo,11060.0,1.0,0.9041591320072333,False,0.0,0.0,89.44982093055377,100.0,94.72491046527688,Alta prioridade
49,421190,SC,Palhoça,253469.0,24.0,0.9468613518812952,False,0.0,0.0,88.95155016118812,100.0,94.47577508059406,Alta prioridade
50,350460,SP,Bady Bassitt,29346.0,3.0,1.0222858311183807,False,0.0,0.0,88.07145977222703,100.0,94.03572988611351,Alta prioridade
51,315100,MG,Piranguinho,9518.0,1.0,1.0506408909434755,False,0.0,0.0,87.74059881192737,100.0,93.87029940596369,Alta prioridade
52,353030,SP,Mirassol,65811.0,7.0,1.06365197307441,False,0.0,0.0,87.58877902544367,100.0,93.79438951272184,Alta prioridade
53,313150,MG,Ipuiúna,9283.0,1.0,1.0772379618657761,False,0.0,0.0,87.43025094171333,100.0,93.71512547085666,Alta prioridade
54,315890,MG,Santana do Manhuaçu,9264.0,1.0,1.079447322970639,False,0.0,0.0,87.4044710159677,100.0,93.70223550798386,Alta prioridade
55,410040,PR,Almirante Tamandaré,125861.0,14.0,1.112338214379355,False,0.0,0.0,87.02068371367577,100.0,93.51034185683788,Alta prioridade
56,170384,TO,Campos Lindos,8990.0,1.0,1.1123470522803116,False,0.0,0.0,87.02058058864569,100.0,93.51029029432284,Alta prioridade
57,310830,MG,Borda da Mata,17837.0,2.0,1.1212647866793743,False,0.0,0.0,86.9165240221926,100.0,93.45826201109631,Alta prioridade
58,314053,MG,Martins Soares,8797.0,1.0,1.1367511651699442,False,0.0,0.0,86.73582124496131,100.0,93.36791062248065,Alta prioridade
59,411490,PR,Marilândia do Sul,8761.0,1.0,1.1414222120762472,False,0.0,0.0,86.6813171432399,100.0,93.34065857161994,Alta prioridade
60,354805,SP,Santo Antônio do Aracanguá,8593.0,1.0,1.1637379262190155,False,0.0,0.0,86.42092627626262,100.0,93.2104631381313,Alta prioridade
61,410130,PR,Antônio Olinto,7048.0,,,True,2.0,2.837684449489217,,93.16311190564828,93.16311190564828,Alta prioridade
62,412405,PR,Santa Terezinha de Itaipu,25300.0,3.0,1.1857707509881423,False,0.0,0.0,86.16383630339028,100.0,93.08191815169513,Alta prioridade
63,172110,TO,Tocantínia,7802.0,1.0,1.281722635221738,False,0.0,0.0,85.04422192923926,100.0,92.52211096461963,Alta prioridade
64,310810,MG,Bonfim,7710.0,1.0,1.297016861219196,False,0.0,0.0,84.86576128299932,100.0,92.43288064149965,Alta prioridade
65,431225,RS,Minas do Leão,7661.0,1.0,1.3053126223730585,False,0.0,0.0,84.7689622101455,100.0,92.38448110507275,Alta prioridade
66,354325,SP,Ribeirão Grande,7571.0,1.0,1.320829480914014,False,0.0,0.0,84.58790377650571,100.0,92.29395188825285,Alta prioridade
67,353610,SP,Pardinho,7435.0,1.0,1.3449899125756557,False,0.0,0.0,84.30598782675517,100.0,92.15299391337759,Alta prioridade
68,354820,SP,Santo Antônio do Pinhal,7314.0,1.0,1.3672409078479628,False,0.0,0.0,84.04635213179174,100.0,92.02317606589587,Alta prioridade
69,410580,PR,Colombo,241672.0,25.0,1.0344599291601841,False,39.0,1.6137574894898872,87.92940633295589,96.11194283104653,92.02067458200122,Alta prioridade
70,420190,SC,Aurora,7241.0,1.0,1.3810247203424941,False,0.0,0.0,83.8855157425666,100.0,91.9427578712833,Alta prioridade
71,315057,MG,Pintópolis,7228.0,1.0,1.383508577753182,False,0.0,0.0,83.8565328572115,100.0,91.92826642860575,Alta prioridade
72,410600,PR,Congonhinhas,8445.0,1.0,1.1841326228537596,False,1.0,1.1841326228537596,86.18295079833331,97.147046341682,91.66499857000765,Alta prioridade
73,355495,SP,Tuiuti,6976.0,1.0,1.43348623853211,False,0.0,0.0,83.27336861982866,100.0,91.63668430991433,Alta prioridade
